Year,Film,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2017 (89th Academy Awards),MIRACLES FROM HEAVEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MISS HOKUSAI,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MISS SHARON JONES!,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MISS SLOANE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MR. CHURCH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MOANA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MONEY MONSTER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MONKEY KING: HERO IS BACK,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MONKEY KING 2,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),A MONSTER CALLS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MOONLIGHT,1,1,1,0,1,1,1,1
2017 (89th Academy Awards),MORGAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MOTHERS AND DAUGHTERS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MUNE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE MUSIC OF STRANGERS: YO-YO MA AND THE SILK ROAD ENSEMBLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MY BIG FAT GREEK WEDDING 2,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MY GOLDEN DAYS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),MY LIFE AS A ZUCCHINI,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NEIGHBORS 2: SORORITY RISING,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE NEON DEMON,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NERUDA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NEVER SURRENDER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE NICE GUYS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NINA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NO LETTING GO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),NOCTURNAL ANIMALS,0,0,0,1,0,0,1,0
2017 (89th Academy Awards),NOW YOU SEE ME 2,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),O.J.: MADE IN AMERICA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OFF THE RAILS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OFFICE CHRISTMAS PARTY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),"OLYMPIC PRIDE, AMERICAN PREJUDICE",0,0,0,0,0,0,0,0
2017 (89th Academy Awards),100 YEARS: ONE WOMAN'S FIGHT FOR JUSTICE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ORDINARY WORLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OTHER PEOPLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE OTHER SIDE OF THE DOOR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE OTTOMAN LIEUTENANT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OUIJA: ORIGIN OF EVIL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OUR KIND OF TRAITOR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OUR LAST TANGO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OUR LITTLE SISTER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),OUTLAWS AND ANGELS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PASSENGERS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PATERSON,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PATRIOTS DAY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PEE-WEE'S BIG HOLIDAY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PETE'S DRAGON,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PHANTOM BOY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE PHENOM,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),POPSTAR: NEVER STOP NEVER STOPPING,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PRESENTING PRINCESS SHAW,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PRICELESS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),Lora Cunningham.,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),PRIDE AND PREJUDICE AND ZOMBIES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE PURGE: ELECTION YEAR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),QUEEN MIMI,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),QUEEN OF KATWE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),RACE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE RED PILL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE RED TURTLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE REMAKE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),REPARATION,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),RIDE ALONG 2,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),RISEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ROGUE ONE: A STAR WARS STORY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),RULES DON'T APPLY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE SALESMAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SARBJIT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SAUSAGE PARTY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE SECRET LIFE OF PETS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SHADOW WORLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE SHALLOWS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE SIEGE OF JADOTVILLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SILENCE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SILICON COWBOYS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SILVER SKIES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SING,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SING STREET,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SNOWDEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SNOWTIME!,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SOLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SOUTHSIDE WITH YOU,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SOUTHWEST OF SALEM: THE STORY OF THE SAN ANTONIO FOUR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SPA NIGHT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),STAR TREK BEYOND,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),STORKS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SUICIDE SQUAD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SULLY,1,0,0,0,0,0,0,0
2017 (89th Academy Awards),SUMMERTIME,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SUNSET SONG,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SWISS ARMY MAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),SWORN VIRGIN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),A TALE OF LOVE AND DARKNESS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TALLULAH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),10 CLOVERFIELD LANE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),10 DAYS IN A MADHOUSE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THEY WILL HAVE TO KILL US FIRST - MALIAN MUSIC IN EXILE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THINGS TO COME,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),13 HOURS: THE SECRET SOLDIERS OF BENGHAZI,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),13TH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TONI ERDMANN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TOO LATE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TOUCHED WITH FIRE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TOWER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TROLLS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),20TH CENTURY WOMEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),TWO WEEKS TO GO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE UNCONDEMNED,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),VALLEY OF LOVE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),VEERAM-MACBETH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),VIGILANTE DIARIES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WAR DOGS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WARCRAFT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WE ARE X,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WEINER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WHAT HAPPENED LAST NIGHT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WHEN THE BOUGH BREAKS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WHISKEY TANGO FOXTROT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WHITE GIRL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WHY HIM?,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WIENER-DOG,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE WITCH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WITHIN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),WOLVES AT THE DOOR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),X-MEN: APOCALYPSE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE YOUNG MESSIAH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),YOUR NAME.,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ZERO DAYS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ZOOLANDER 2,0,0,0,0,0,0,0,0
